Rank,Name,Obj#,LHS,RA (2000.0),DEC (2000.0),"PM (""/yr)",Angle,Parallax,,Error,Spectral Type,V,Mv,Mass,common name
59,GJ 526,1,47,13 45 43.8,+14 53 29,2.298,129.3,0.18472,17.6569943698571,0.00074,M1.0 V,8.46,9.79,0.53,Wolf 498
60,GJ 169.1 A,2,26,04 31 11.8,+58 58 38,2.427,147.6,0.18052,18.067804121427,0.00078,M4.0 V,11.04,12.32,0.2,Stein 2051
61,GJ 251,1,1879,06 54 49.0,+33 16 05,0.831,241.3,0.17811,18.3122789287519,0.00143,M3.0 V,10.02,11.27,0.34,-
62,2MA 1835+3259,1,-,18 35 37.9,+32 59 54,0.759,186.1,0.1765,18.4793201133145,0.0005,M8.5 V,18.27,19.5,0.07,-
63,GJ 205,1,30,05 31 27.4,-03 40 38,2.228,160,0.17599,18.5328711858628,0.00104,M1.0 V,7.95,9.18,0.57,Wolf 1453
64,LP 816-060,1,-,20 52 33.0,-16 58 29,0.308,275.7,0.17503,18.6345197966063,0.0034,M3.5 V,11.5,12.72,0.19,-
65,2MA 0415-0935,1,-,04 15 19.5,-09 35 07,2.255,76.5,0.17434,18.7082711942182,0.00276,T8.0 V,-,-,0.03,-
66,GJ 764,1,477,19 32 21.6,+69 39 40,1.839,161,0.17379,18.7674779906784,0.00018,G9.0 V,4.67,5.87,0.89,sigma Draconis
67,GJ 229 A,2,1827,06 10 34.6,-21 51 53,0.727,190.9,0.17377,18.7696380272774,0.00097,M1.5 V,8.14,9.34,0.56,-
68,GJ 213,1,31,05 42 09.3,+12 29 22,2.542,128.2,0.1715,19.0180758017493,0.001,M4.0 V,11.57,12.74,0.18,Ross 47
69,GJ 693,1,454,17 46 34.2,-57 19 09,1.756,219.6,0.1711,19.062536528346,0.00222,M3.0 V,10.76,11.93,0.26,-
70,GJ 752 A,2,473,19 16 55.3,+05 10 08,1.452,203.5,0.17096,19.0781469349555,0.00052,M2.5 V,9.1,10.26,0.5,Wolf 1055
71,GJ 570 A,4,387,14 57 28.0,-21 24 56,2.012,149.1,0.17062,19.1161645762513,0.00067,K4.0 V,5.64,6.8,0.78,-
72,GJ 754,1,60,19 20 48.0,-45 33 27,2.945,167.3,0.16917,19.2800141869126,0.00153,M4.0 V,12.23,13.37,0.16,-
73,GJ 588,1,397,15 32 12.9,-41 16 32,1.564,228.9,0.16852,19.35437930216,0.00127,M2.5 V,9.31,10.44,0.46,-
74,GJ 1005 A,2,1047,00 15 28.1,-16 08 02,0.955,130.3,0.16835,19.3739233739234,0.0009,M3.5 V,11.6,12.73,0.18,-
75,GJ 34 A,2,123,00 49 06.3,+57 48 55,1.223,117.2,0.16823,19.3877429709327,0.00046,G3 V,3.46,4.59,1.11,eta Cassiopei A
76,GJ 663 A,3,437,17 15 21.0,-26 36 10,1.238,202.5,0.16812,19.4004282655246,0.0004,K1.5 V,5.07,6.2,0.85,36 Ophiuchi A
77,GJ 908,1,550,23 49 12.5,+02 24 04,1.388,134.2,0.16802,19.4119747649089,0.00118,M1.0 V,8.98,10.11,0.51,-
78,GJ 285,1,1943,07 44 40.2,+03 33 09,0.568,217.4,0.16719,19.5083438004665,0.00205,M4.0 V,11.19,12.31,0.2,Ross 882
79,GJ 783 A,2,486,20 11 11.9,-36 06 04,1.64,163.8,0.16626,19.6174666185493,0.00027,K2.5 V,5.31,6.42,0.82,-
80,GJ 139,1,19,03 19 55.6,-43 04 11,3.124,76.6,0.16547,19.711125883846,0.00019,G8.0 V,4.26,5.35,0.97,82 Eridani
81,GJ 1221,1,455,17 48 06.7,+70 52 29,1.651,311,0.1647,19.8032786885246,0.0024,DXP9,14.22,15.3,0.5,-
